Konuşma No,Konuşma ID,İlk 2 User Mesajı,LLM Topic,LLM Sentiment,LLM Bot Answered,Manuel Topic,Manuel Sentiment,Manuel Bot Answered
14,9f2120f9,"Nişan | Söz ve isteme bir arada olacak şekilde kuru pasta ve meyve suyuyla beraber istiyoruz . Ankara yenimahalle, Mamak , Çankaya da olabilir . Yaklaşık 150-200 davetli . Söz mekânında organizasyon fotoğrafını istiyorum . Tarih olarak 20 Temmuz",nişan/organizasyon,Nötr,Hayır,,,
15,9f216298,Düğün | trabzon araklı,düğün,Nötr,Hayır,,,
16,9f2163e4,Düğün | Ankara,düğün,Nötr,Hayır,,,
17,9f2193d3,Düğün | İstabul Eyüp,düğün,Nötr,Hayır,,,
18,9f21967e,Düğün | Ankara Keçiören,düğün,Nötr,Evet,,,
19,9f21d05d,arkadaslarjmla gelmek istiyorum | arkadaslarımla vakit gecirmek icin,other,Nötr,Evet,,,
20,9f21d0f2,Düğün | Gelin bohcası fiyatlar,düğün,Nötr,Hayır,,,
21,9f227c7c,Bekarlığa veda Partisi düzenlemek istiyorum | Parti İstanbul’da olacak ilçe olarak Anadolu ya da Avrupa yakası olur sadece hani Beylikdüzü gibi çok uzak bir yer olmasın. Üç Temmuz düşünüyoruz ortalama 10:15 kişilik bir grup olur böyle hem DJ performans ve erkek dansçıların olduğu hem de böyle sohbet edebileceğimiz şık eğlenceli bir mekan arayışındayız toplam bütçemiz 10.000 ila 30.000 arası,mekan,Nötr,Hayır,,,
22,9f22e60c,"Düğün | 1. izmir , balçova ve buca",düğün,Nötr,Evet,,,
23,9f22fd33,Düğün | muğla bodurum 700,düğün,Nötr,Hayır,,,
24,9f2300ed,Düğün | izmir urla,düğün,Nötr,Evet,,,
25,9f23488b,Mezuniyet | İstanbul/Ataşehir,mezuniyet,Nötr,Evet,,,
26,9f2356ed,Nişan | Nevşehir,nişan,Nötr,Hayır,,,
27,9f236564,Merhaba | Düğün balayı için rahatsız ettim,düğün,Nötr,Evet,,,
28,9f239f9c,Düğün | 150-200 kişi Ankara için mekan,düğün/mekan,Nötr,Evet,,,
29,9f24180f,mezuniyet | Yalova Merkez 21 haziran 25-30 kişilik yemekli kişi başı bütçe 1000-1100 arasında,mezuniyet,Nötr,Hayır,,,
30,9f24d36d,Nişan | YUNUS & CENNET nişan törenleri var mı,nişan,Nötr,Hayır,,,
31,9f24d47a,Nişan | Ankara Yeni mahalle ve Etimesgut civarı  100-150 kişi koktely tarzı  16 Temmuz,nişan,Nötr,Evet,,,
32,9f24e2a8,Nişan | Samsun/Atakum,nişan,Nötr,Hayır,,,
33,9f252c88,Merhaba | Nişan,nişan,Nötr,Hayır,,,
34,9f253790,Düğün | Malatya,düğün,Nötr,Hayır,,,
35,9f255140,SÜNNET EĞLENCESİ | 300-400 KAPAİSTELİ,sünnet,Nötr,Hayır,,,
36,9f25a4aa,Düğün | Van İpekyolu,düğün,Nötr,Evet,,,
37,9f25b85b,Nişan | Gaziantep,nişan,Nötr,Hayır,,,
38,9f270cca,Kına | Her ikisi,kına,Nötr,Evet,,,
39,9f275d6c,"Kına | ankara,",kına,Nötr,Hayır,,,
40,9f275f9c,nikah | ankara,nikah,Nötr,Hayır,,,
41,9f276569,kır bahçesinde nikah merasimi | 14 eylül,nikah/mekan,Nötr,Hayır,,,
42,9f2769b8,Balayı | Maldivler  25 Ağustos 5 gün 110 bin bütçe romantik balayı,balayı,Nötr,Evet,,,
43,9f2792e9,Düğün | Ankara çankaya gölbaşı,düğün,Nötr,Hayır,,,
44,9f27b3c9,Sünnet | Gebze,sünnet,Nötr,Evet,,,
45,9f27d8f1,Sünnet | Sünnet düğünü yemekli,düğün,Nötr,Hayır,,,
46,9f27fde7,Düğün | Mersin liva otel 250 kisi kapasite yemeksiz,düğün,Nötr,Hayır,,,
47,9f27fe9a,Kına | Her ikiisi,kına,Nötr,Evet,,,
48,9f287f40,Düğün | Ankara Pursaklar,düğün,Nötr,Hayır,,,
49,9f28b012,Düğün | Düğün kardeşimin ben hamile kıyafeti istiyorum,düğün,Nötr,Evet,,,
50,9f28b667,Düğün | İstanbul Beyoğlu,düğün,Nötr,Evet,,,
